genus	phylum
Elusimicrobium	Elusimicrobia
Candida	Ascomycota
Anaerotignum	Firmicutes
Anaerotruncus	Firmicutes
Atopobium	Actinobacteria
Peptostreptococcus	Firmicutes
Absiella	Firmicutes
Brevibacillus	Firmicutes
Treponema	Spirochaetes
Lactococcus	Firmicutes
Pelistega	Proteobacteria
Kluyvera	Proteobacteria
Mycobacteroides	Actinobacteria
Elizabethkingia	Bacteroidetes
Pseudoglutamicibacter	Actinobacteria
Alloprevotella	Bacteroidetes
Ottowia	Proteobacteria
Propionimicrobium	Actinobacteria
Parabacteroides	Bacteroidetes
Sphingobacterium	Bacteroidetes
Dolosicoccus	Firmicutes
Ruminococcus	Firmicutes
Bacteroidetes_unclassified	Bacteroidetes
Flavobacterium	Bacteroidetes
Selenomonas	Firmicutes
Gemella	Firmicutes
Methanosphaera	Euryarchaeota
Cardiobacterium	Proteobacteria
Neisseria	Proteobacteria
Leclercia	Proteobacteria
Dickeya	Proteobacteria
Kingella	Proteobacteria
Leishmania	Eukaryota_unclassified
Porphyromonas	Bacteroidetes
Arcanobacterium	Actinobacteria
Dorea	Firmicutes
Intestinibacter	Firmicutes
Kocuria	Actinobacteria
Obesumbacterium	Proteobacteria
Christensenella	Firmicutes
Citrobacter	Proteobacteria
Proteobacteria_unclassified	Proteobacteria
Methanobrevibacter	Euryarchaeota
Frischella	Proteobacteria
Geobacillus	Firmicutes
Eggerthella	Actinobacteria
Cutibacterium	Actinobacteria
Cetobacterium	Fusobacteria
Globicatella	Firmicutes
Bordetella	Proteobacteria
Erwinia	Proteobacteria
Lautropia	Proteobacteria
Robinsoniella	Firmicutes
Desulfovibrio	Proteobacteria
Hydrogenibacillus	Firmicutes
Hydrogenoanaerobacterium	Firmicutes
Cloacibacterium	Bacteroidetes
Varibaculum	Actinobacteria
Sanguibacteroides	Bacteroidetes
Clavibacter	Actinobacteria
Methanomassiliicoccales_unclassified	Euryarchaeota
Sellimonas	Firmicutes
Agitococcus	Firmicutes
Succinatimonas	Proteobacteria
Moraxella	Proteobacteria
Serratia	Proteobacteria
Stomatobaculum	Firmicutes
Anaerosporobacter	Firmicutes
Kosakonia	Proteobacteria
Butyricicoccus	Firmicutes
Intestinimonas	Firmicutes
Ileibacterium	Firmicutes
Hafnia	Proteobacteria
Pediococcus	Firmicutes
Thermoleophilum	Actinobacteria
Aerococcaceae_unclassified	Firmicutes
Dolosigranulum	Firmicutes
Cronobacter	Proteobacteria
Faecalitalea	Firmicutes
Leucobacter	Actinobacteria
Parvimonas	Firmicutes
Rahnella	Proteobacteria
Escherichia	Proteobacteria
Enorma	Actinobacteria
Cupriavidus	Proteobacteria
Lysinibacillus	Firmicutes
Terrisporobacter	Firmicutes
Anaerofilum	Firmicutes
Melaminivora	Proteobacteria
Cryptosporidium	Apicomplexa
Sneathia	Fusobacteria
Franconibacter	Proteobacteria
Peptoanaerobacter	Firmicutes
Anaeromassilibacillus	Firmicutes
Ochrobactrum	Proteobacteria
Capnocytophaga	Bacteroidetes
Coprothermobacter	Coprothermobacterota
Gordonia	Actinobacteria
Bosea	Proteobacteria
Microlunatus	Actinobacteria
Brevundimonas	Proteobacteria
Pseudoalteromonas	Proteobacteria
Yokenella	Proteobacteria
Holdemanella	Firmicutes
Klebsiella	Proteobacteria
Oxalobacter	Proteobacteria
Aeromonas	Proteobacteria
Sporosarcina	Firmicutes
Desulfovibrionaceae_unclassified	Proteobacteria
Providencia	Proteobacteria
Variovorax	Proteobacteria
Granulicatella	Firmicutes
Acetatifactor	Firmicutes
Coprococcus	Firmicutes
Faecalicatena	Firmicutes
Ureaplasma	Tenericutes
Pasteurella	Proteobacteria
Desulfomicrobium	Proteobacteria
Brochothrix	Firmicutes
Glutamicibacter	Actinobacteria
Mycolicibacterium	Actinobacteria
Sharpea	Firmicutes
Atlantibacter	Proteobacteria
Pseudoflavonifractor	Firmicutes
Rubrobacter	Actinobacteria
Abiotrophia	Firmicutes
Trichococcus	Firmicutes
Cloacibacillus	Synergistetes
Moellerella	Proteobacteria
Pararheinheimera	Proteobacteria
Massiliomicrobiota	Firmicutes
Mobiluncus	Actinobacteria
Listeria	Firmicutes
Tannerella	Bacteroidetes
Mycobacterium	Actinobacteria
Dysgonomonas	Bacteroidetes
Vibrio	Proteobacteria
Aerococcus	Firmicutes
Turicibacter	Firmicutes
Filifactor	Firmicutes
Alkaliphilus	Firmicutes
Eubacteriaceae_unclassified	Firmicutes
Kouleothrix	Chloroflexi
Pedobacter	Bacteroidetes
Malassezia	Basidiomycota
Sphingomonas	Proteobacteria
Tissierellia_unclassified	Firmicutes
Anaerobacillus	Firmicutes
Lawsonia	Proteobacteria
Trueperella	Actinobacteria
Avibacterium	Proteobacteria
Centipeda	Firmicutes
Aggregatibacter	Proteobacteria
Candidatus_Stoquefichus	Firmicutes
Finegoldia	Firmicutes
Asaccharobacter	Actinobacteria
Rickettsia	Proteobacteria
Williamsia	Actinobacteria
Odoribacter	Bacteroidetes
Micrococcus	Actinobacteria
Denitrobacterium	Actinobacteria
Pectobacterium	Proteobacteria
Desulfotomaculum	Firmicutes
Actinotignum	Actinobacteria
Clostridiales_unclassified	Firmicutes
Phyllobacterium	Proteobacteria
Dialister	Firmicutes
Murimonas	Firmicutes
Solibacillus	Firmicutes
Empedobacter	Bacteroidetes
Hydrogenophilus	Proteobacteria
Aeriscardovia	Actinobacteria
Alcaligenes	Proteobacteria
Ewingella	Proteobacteria
Caulobacter	Proteobacteria
Anaeroglobus	Firmicutes
Methanobacterium	Euryarchaeota
Acidovorax	Proteobacteria
Psychrobacillus	Firmicutes
Microbacterium	Actinobacteria
Gilliamella	Proteobacteria
Immundisolibacter	Proteobacteria
Entamoeba	Eukaryota_unclassified
Prolinoborus	Proteobacteria
Zymomonas	Proteobacteria
Stenotrophomonas	Proteobacteria
Faecalibacterium	Firmicutes
Dermabacter	Actinobacteria
Anaerobiospirillum	Proteobacteria
Amycolatopsis	Actinobacteria
Rhodococcus	Actinobacteria
Enhydrobacter	Proteobacteria
Peptoniphilus	Firmicutes
Roseiflexus	Chloroflexi
Janibacter	Actinobacteria
Butyricimonas	Bacteroidetes
Oligella	Proteobacteria
Halomonas	Proteobacteria
Anoxybacillus	Firmicutes
Coprobacillus	Firmicutes
Anaerofustis	Firmicutes
Yersinia	Proteobacteria
Vagococcus	Firmicutes
Pyrococcus	Euryarchaeota
Erysipelothrix	Firmicutes
Tychonema	Cyanobacteria
Rodentibacter	Proteobacteria
Raoultella	Proteobacteria
Holdemania	Firmicutes
Brachyspira	Spirochaetes
Metakosakonia	Proteobacteria
Gardnerella	Actinobacteria
Acidipropionibacterium	Actinobacteria
Sporanaerobacter	Firmicutes
Criibacterium	Firmicutes
Oribacterium	Firmicutes
Acetomicrobium	Synergistetes
Tyzzerella	Firmicutes
Cellulosilyticum	Firmicutes
Rikenella	Bacteroidetes
Laribacter	Proteobacteria
Monoglobus	Firmicutes
Jonquetella	Synergistetes
Sarcina	Firmicutes
Macrococcus	Firmicutes
Paraprevotella	Bacteroidetes
Lactonifactor	Firmicutes
Anaerocolumna	Firmicutes
Pyramidobacter	Synergistetes
Subdoligranulum	Firmicutes
Brachybacterium	Actinobacteria
Lelliottia	Proteobacteria
Jeotgalibacillus	Firmicutes
Morococcus	Proteobacteria
Peptococcus	Firmicutes
Allisonella	Firmicutes
Shuttleworthia	Firmicutes
Desulfobulbus	Proteobacteria
Cellulosimicrobium	Actinobacteria
Faecalibaculum	Firmicutes
Akkermansia	Verrucomicrobia
Gordonibacter	Actinobacteria
Rheinheimera	Proteobacteria
Dermacoccus	Actinobacteria
Paraburkholderia	Proteobacteria
Slackia	Actinobacteria
Tatumella	Proteobacteria
Delftia	Proteobacteria
Mixta	Proteobacteria
Tepidimonas	Proteobacteria
Pseudopropionibacterium	Actinobacteria
Eremococcus	Firmicutes
Veillonellaceae_unclassified	Firmicutes
Oenococcus	Firmicutes
Kytococcus	Actinobacteria
Nocardia	Actinobacteria
Solobacterium	Firmicutes
Paeniclostridium	Firmicutes
Candidatus_Methanomethylophilus	Euryarchaeota
Salmonella	Proteobacteria
Victivallis	Lentisphaerae
Herbaspirillum	Proteobacteria
Lachnospira	Firmicutes
Bavariicoccus	Firmicutes
Enterorhabdus	Actinobacteria
Muribaculaceae_unclassified	Bacteroidetes
Saccharomyces	Ascomycota
Coprobacter	Bacteroidetes
Kurthia	Firmicutes
Harryflintia	Firmicutes
Pluralibacter	Proteobacteria
Candidatus_Pelagibacter	Proteobacteria
Dielma	Firmicutes
Eggerthia	Firmicutes
Carnobacterium	Firmicutes
Synergistes	Synergistetes
Photobacterium	Proteobacteria
Tepidiphilus	Proteobacteria
Meiothermus	Deinococcus_Thermus
Anaerolineaceae_unclassified	Chloroflexi
Kerstersia	Proteobacteria
Salipiger	Proteobacteria
Catonella	Firmicutes
Psychrobacter	Proteobacteria
Mageeibacillus	Firmicutes
Plesiomonas	Proteobacteria
Methyloversatilis	Proteobacteria
Mediterranea	Bacteroidetes
Schwartzia	Firmicutes
Alkalibacterium	Firmicutes
Thiohalorhabdus	Proteobacteria
Collinsella	Actinobacteria
Sphingobium	Proteobacteria
Siccibacter	Proteobacteria
Ruthenibacterium	Firmicutes
Parascardovia	Actinobacteria
Acholeplasma	Tenericutes
Catabacter	Firmicutes
Thermus	Deinococcus_Thermus
Muribaculum	Bacteroidetes
Melissococcus	Firmicutes
Buttiauxella	Proteobacteria
Tetragenococcus	Firmicutes
Sodalis	Proteobacteria
Aneurinibacillus	Firmicutes
Alkalilimnicola	Proteobacteria
Negativicoccus	Firmicutes
Bacillaceae_unclassified	Firmicutes
Morganella	Proteobacteria
Blastocystis	Eukaryota_unclassified
Faecalicoccus	Firmicutes
Ensifer	Proteobacteria
Turicimonas	Proteobacteria
Vogesella	Proteobacteria
Adlercreutzia	Actinobacteria
Johnsonella	Firmicutes
Sediminibacterium	Bacteroidetes
Superficieibacter	Proteobacteria
Chroococcidiopsis	Cyanobacteria
Arthrospira	Cyanobacteria
Alloscardovia	Actinobacteria
Xanthomonadaceae_unclassified	Proteobacteria
Lawsonella	Actinobacteria
Cedecea	Proteobacteria
Marvinbryantia	Firmicutes
Catenibacterium	Firmicutes
Mucispirillum	Deferribacteres
Methylobacterium	Proteobacteria
Rhizobium	Proteobacteria
Fusicatenibacter	Firmicutes
Blastomonas	Proteobacteria
Fretibacterium	Synergistetes
Pseudonocardia	Actinobacteria
Pseudescherichia	Proteobacteria
Mesorhizobium	Proteobacteria
Xanthomonas	Proteobacteria
Chlorogloea	Cyanobacteria
Phytobacter	Proteobacteria
Paludisphaera	Planctomycetes
Tropheryma	Actinobacteria
Limnochorda	Firmicutes
Synechococcus	Cyanobacteria
Arcobacter	Proteobacteria
Aquamicrobium	Proteobacteria
Methanomassiliicoccus	Euryarchaeota
Prauserella	Actinobacteria
Agathobaculum	Firmicutes
